,0,1,2,3,4,5,6,7,8,9
AMZN,-5.6168433219856055,0.6841573889811512,0.046046250175164505,-0.044888797181611956,0.061764403311419525,0.00037213852298319944,-0.11870597450079565,0.04703138015446,0.07113111711993228,-0.02552042709041729
ANSS,3.4909617613627812,-0.2688488837695797,0.5096260017879848,0.6695691989233543,-0.07001538970434174,0.26301866009607644,0.3776785489872262,-0.17763115575698735,-0.11382285375520171,0.11547163150635852
ASML,21.189623772590927,-2.4941266642133098,-0.22213892756680265,1.882431705696622,-0.22553857207491945,-0.7258169949335975,-0.24380911290621832,-0.07070434962522078,0.06950098190995829,-0.22615699488950264
AVGO,24.882972371004705,2.9610836649131045,-2.1372009070744817,1.0125758077268567,-0.008319915465126337,-0.26945644086496306,0.2000380362324019,-0.5203490826076687,-0.18085063924512718,0.1812845857598271
AZN,-7.8496156013552465,0.011618033442484688,0.23105786438793952,-0.0713219709799667,0.030632283530538762,0.12764881260674343,-0.10037281262435585,-0.0712068580114095,0.056765417166962956,-0.022878293204857396
BIIB,2.6515969945948714,-1.7617466022406434,-0.033800962795931866,0.40913741732337633,0.05967829642975134,0.24497125392722907,-0.09983689087631531,0.12467807916635106,0.21849424133514062,-0.1755186741797965
BKNG,121.0514905753048,1.779499950888713,1.065904854994951,-1.1788808079872222,-1.0558817143634993,0.4082787475148686,-0.3738683842600188,-0.07120127168593293,0.113676794349999,0.1628873792732975
BKR,-9.730767428371973,0.37479232851406596,0.23145537481569,-0.20405114925587292,-0.023899548495176393,0.011904592160273536,-0.08781137826892396,-0.0349952096274363,-0.004500070287325464,0.003829226757531376
CDNS,-0.7035963466169349,0.6358939890922284,0.11666917126654316,0.08191285060831957,0.24849563402013639,0.026450392467077574,0.10613363415567699,-0.10370659252644047,-0.11239997241323237,0.02273689398458576
CEG,-6.671138663552577,0.36035389795448536,-0.1951981021279885,-0.379809908937087,0.1185931064991364,-0.05349424378779116,-0.07692631776656414,0.014270516172758485,0.030602064572803678,0.019563302619869872
CHTR,7.779689778566188,-0.8283623885324376,-0.5833523372618485,-1.1711250346107547,-0.3718024882163605,-0.55083645419087,-0.04390496764970875,0.4655277956572716,-0.14947726423310645,-0.261282820683446
CMCSA,-9.297040811912064,0.3619785540128606,0.2458728248932951,-0.1694057133451476,-0.0158481639988719,0.03990179501717796,-0.10944874358205739,-0.024344653340048122,0.029789352975708033,-0.023503971395261294
COST,14.72621555289552,-1.1595424057142365,-0.8522699623891514,-0.25499441540648426,0.12234574208039728,-0.20193308260605075,0.138962867335723,0.3169323645045783,-0.208654544545478,-0.009345008733491506
CPRT,-9.332622615164839,0.492545740199696,0.24535101121408776,-0.09540206046284244,0.05740492321073881,0.0729636363073297,-0.08494645534931411,-0.01879574778511238,0.01582261011444941,0.007762183827140431
CRWD,-4.282253838593278,0.7937414387803463,-0.11507818239795942,-0.19115850370558574,0.4644433438592056,0.03201302511637828,0.15370524423818796,0.05192826335180446,-0.001337831266841949,0.1523021304842919
CSCO,-8.775796880022087,0.24968565803962628,0.20705744371180024,-0.17827018027012237,-0.0018953471335458882,0.0366875335069083,-0.03535769412545292,-0.0570349641996336,0.024817088600566556,0.0015225347017604127
CSGP,-7.391743419056392,0.06640059016148925,0.0026402462857662012,-0.041963114467244766,-0.04653213072577522,0.013165479397642649,-0.12808998484799367,0.01906486858275344,0.024380999145066584,0.0189783685822546
CSX,-9.740797222913297,0.26321664544794743,0.22850916127476206,-0.12336141529467898,0.005120573342972334,0.043573648908468335,-0.0963089744470475,-0.03167668610194853,0.00778186989347357,0.008341730745106107
CTAS,12.464404613396386,-1.187802186051691,-0.9996904965826772,-0.05259160300906657,0.3619188859246982,0.07039154961781818,-0.02352913597485945,-0.10143674235913086,-0.11518669180059667,0.11425788051206419
CTSH,-8.103685857536082,0.22607181090663353,0.2150678395634622,-0.17510948546189017,-0.032678821563517924,-0.02576545350624926,-0.09823566676043236,0.008602555418650057,0.007180469841557097,-0.01349538026298834
DDOG,-7.073370420813808,0.46422171929933675,-0.022890454991960407,0.08596385009505317,-0.05866829248930522,-0.039571139718526854,-0.13954620221412714,0.0813542868669255,0.02244624567943926,0.12836479983063717
