,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
167,2023-08-29,105.54784309911736,98.58829054593915,114.22162370340499,105.54784309911736,105.54784309911736,0.9219417968493524,0.9219417968493524,0.9219417968493524,0.9219417968493524,0.9219417968493524,0.9219417968493524,0.0,0.0,0.0,106.46978489596671
168,2023-08-30,105.39156783831537,98.00838383853562,113.64287009951614,105.39156783831537,105.39156783831537,0.3954230076076971,0.3954230076076971,0.3954230076076971,0.3954230076076971,0.3954230076076971,0.3954230076076971,0.0,0.0,0.0,105.78699084592307
169,2023-08-31,105.23529257751338,98.09781031033181,113.56980203790262,105.23529257751338,105.23529257751338,0.6074350468566541,0.6074350468566541,0.6074350468566541,0.6074350468566541,0.6074350468566541,0.6074350468566541,0.0,0.0,0.0,105.84272762437003
170,2023-09-01,105.0790173167114,98.04436932608799,113.67724685007012,105.0790173167114,105.0790173167114,0.8206646072910124,0.8206646072910124,0.8206646072910124,0.8206646072910124,0.8206646072910124,0.8206646072910124,0.0,0.0,0.0,105.89968192400241
171,2023-09-05,104.45391627350345,96.98937648609936,113.00322233557728,104.45391627350345,104.45391627350345,0.9219417968492425,0.9219417968492425,0.9219417968492425,0.9219417968492425,0.9219417968492425,0.9219417968492425,0.0,0.0,0.0,105.37585807035269
172,2023-09-06,104.29764101270146,97.07617323067514,112.30840815080084,104.29764101270146,104.29764101270146,0.3954230076078307,0.3954230076078307,0.3954230076078307,0.3954230076078307,0.3954230076078307,0.3954230076078307,0.0,0.0,0.0,104.6930640203093
173,2023-09-07,104.1413657518995,97.14348535494345,112.40775149499092,104.1413657518995,104.1413657518995,0.60743504685618,0.60743504685618,0.60743504685618,0.60743504685618,0.60743504685618,0.60743504685618,0.0,0.0,0.0,104.74880079875568
174,2023-09-08,103.9850904910975,96.64802045259151,112.531832131192,103.9850904910975,103.9850904910975,0.8206646072898601,0.8206646072898601,0.8206646072898601,0.8206646072898601,0.8206646072898601,0.8206646072898601,0.0,0.0,0.0,104.80575509838735
175,2023-09-11,103.51626470869152,96.55853578368648,110.98433160389324,103.51626470869152,103.51626470869152,0.22808285217452268,0.22808285217452268,0.22808285217452268,0.22808285217452268,0.22808285217452268,0.22808285217452268,0.0,0.0,0.0,103.74434756086605
176,2023-09-12,103.35998944834675,95.9406568446832,111.92687590647529,103.35998944834675,103.35998944834675,0.9219417968499788,0.9219417968499788,0.9219417968499788,0.9219417968499788,0.9219417968499788,0.9219417968499788,0.0,0.0,0.0,104.28193124519673
177,2023-09-13,103.20371418800197,95.97836411505662,111.90788333168234,103.20371418800197,103.20371418800197,0.39542300760796445,0.39542300760796445,0.39542300760796445,0.39542300760796445,0.39542300760796445,0.39542300760796445,0.0,0.0,0.0,103.59913719560993
178,2023-09-14,103.04743892765718,95.53573132353127,111.61155859812648,103.04743892765718,103.04743892765718,0.6074350468573517,0.6074350468573517,0.6074350468573517,0.6074350468573517,0.6074350468573517,0.6074350468573517,0.0,0.0,0.0,103.65487397451453
179,2023-09-15,102.8911636673124,96.10469835172343,111.43026001201471,102.8911636673124,102.8911636673124,0.8206646072889442,0.8206646072889442,0.8206646072889442,0.8206646072889442,0.8206646072889442,0.8206646072889442,0.0,0.0,0.0,103.71182827460134
180,2023-09-18,102.42233788627806,94.8790244064982,110.62637723745542,102.42233788627806,102.42233788627806,0.2280828521774669,0.2280828521774669,0.2280828521774669,0.2280828521774669,0.2280828521774669,0.2280828521774669,0.0,0.0,0.0,102.65042073845552
181,2023-09-19,102.26606262593327,94.98663383521519,111.26052562666094,102.26606262593327,102.26606262593327,0.9219417968478676,0.9219417968478676,0.9219417968478676,0.9219417968478676,0.9219417968478676,0.9219417968478676,0.0,0.0,0.0,103.18800442278113
182,2023-09-20,102.10978736558849,94.84816871383762,110.48455174099956,102.10978736558849,102.10978736558849,0.39542300760685145,0.39542300760685145,0.39542300760685145,0.39542300760685145,0.39542300760685145,0.39542300760685145,0.0,0.0,0.0,102.50521037319534
183,2023-09-21,101.95351210524373,94.9489527607857,110.00880143521141,101.95351210524373,101.95351210524373,0.6074350468577007,0.6074350468577007,0.6074350468577007,0.6074350468577007,0.6074350468577007,0.6074350468577007,0.0,0.0,0.0,102.56094715210143
184,2023-09-22,101.91518034998867,95.10133708859775,110.7108100547021,101.91518034998867,101.91518034998867,0.8206646072933691,0.8206646072933691,0.8206646072933691,0.8206646072933691,0.8206646072933691,0.8206646072933691,0.0,0.0,0.0,102.73584495728204
185,2023-09-25,101.8001850842235,94.22837278754406,109.85124923809843,101.8001850842235,101.8001850842235,0.22808285217777377,0.22808285217777377,0.22808285217777377,0.22808285217777377,0.22808285217777377,0.22808285217777377,0.0,0.0,0.0,102.02826793640128
186,2023-09-26,101.76185332896844,95.01629345810869,110.56570049523978,101.76185332896844,101.76185332896844,0.9219417968486038,0.9219417968486038,0.9219417968486038,0.9219417968486038,0.9219417968486038,0.9219417968486038,0.0,0.0,0.0,102.68379512581704
187,2023-09-27,101.7235215737134,94.57775987428228,109.33026637265952,101.7235215737134,101.7235215737134,0.3954230076078121,0.3954230076078121,0.3954230076078121,0.3954230076078121,0.3954230076078121,0.3954230076078121,0.0,0.0,0.0,102.11894458132122
188,2023-09-28,101.68518981845834,94.5782434323647,110.00852342066507,101.68518981845834,101.68518981845834,0.6074350468580495,0.6074350468580495,0.6074350468580495,0.6074350468580495,0.6074350468580495,0.6074350468580495,0.0,0.0,0.0,102.29262486531638
189,2023-09-29,101.64685806320328,94.61510411137152,110.13215130065407,101.64685806320328,101.64685806320328,0.8206646072926892,0.8206646072926892,0.8206646072926892,0.8206646072926892,0.8206646072926892,0.8206646072926892,0.0,0.0,0.0,102.46752267049597
190,2023-10-02,101.53186279743812,93.5530513611168,109.23649732492981,101.53186279743812,101.53186279743812,0.2280828521793993,0.2280828521793993,0.2280828521793993,0.2280828521793993,0.2280828521793993,0.2280828521793993,0.0,0.0,0.0,101.75994564961752
191,2023-10-03,101.49353104218308,94.73981337904915,110.15182662904618,101.49353104218308,101.49353104218308,0.9219417968493401,0.9219417968493401,0.9219417968493401,0.9219417968493401,0.9219417968493401,0.9219417968493401,0.0,0.0,0.0,102.41547283903242
192,2023-10-04,101.65808049482064,94.87227108220573,109.53080292501147,101.65808049482064,101.65808049482064,0.3954230076066989,0.3954230076066989,0.3954230076066989,0.3954230076066989,0.3954230076066989,0.3954230076066989,0.0,0.0,0.0,102.05350350242733
193,2023-10-05,101.8226299474582,94.71250126265589,110.6781927656064,101.8226299474582,101.8226299474582,0.6074350468583983,0.6074350468583983,0.6074350468583983,0.6074350468583983,0.6074350468583983,0.6074350468583983,0.0,0.0,0.0,102.4300649943166
194,2023-10-06,101.98717940009575,95.13466769898953,110.91831306968541,101.98717940009575,101.98717940009575,0.8206646072915369,0.8206646072915369,0.8206646072915369,0.8206646072915369,0.8206646072915369,0.8206646072915369,0.0,0.0,0.0,102.80784400738729
195,2023-10-09,102.48082775800845,94.51480209019773,110.37641257383551,102.48082775800845,102.48082775800845,0.22808285217372556,0.22808285217372556,0.22808285217372556,0.22808285217372556,0.22808285217372556,0.22808285217372556,0.0,0.0,0.0,102.70891061018217
196,2023-10-10,102.645377210646,95.94687413970689,111.4086920756126,102.645377210646,102.645377210646,0.921941796847229,0.921941796847229,0.921941796847229,0.921941796847229,0.921941796847229,0.921941796847229,0.0,0.0,0.0,103.56731900749324
197,2023-10-11,102.80992666328356,95.0003365109268,110.18762853892156,102.80992666328356,102.80992666328356,0.39542300760807936,0.39542300760807936,0.39542300760807936,0.39542300760807936,0.39542300760807936,0.39542300760807936,0.0,0.0,0.0,103.20534967089164
198,2023-10-12,102.97447611592112,95.86001992593614,111.1080917650721,102.97447611592112,102.97447611592112,0.6074350468595701,0.6074350468595701,0.6074350468595701,0.6074350468595701,0.6074350468595701,0.6074350468595701,0.0,0.0,0.0,103.58191116278068
199,2023-10-13,103.1390255685587,96.82879996931096,111.68306062848372,103.1390255685587,103.1390255685587,0.8206646072959618,0.8206646072959618,0.8206646072959618,0.8206646072959618,0.8206646072959618,0.8206646072959618,0.0,0.0,0.0,103.95969017585466
200,2023-10-16,104.4454957312937,96.56374588164383,112.94202645146126,104.4454957312937,104.4454957312937,0.22808285217535113,0.22808285217535113,0.22808285217535113,0.22808285217535113,0.22808285217535113,0.22808285217535113,0.0,0.0,0.0,104.67357858346905
201,2023-10-17,104.88098578553871,98.06634377234745,113.12385154885943,104.88098578553871,104.88098578553871,0.9219417968479652,0.9219417968479652,0.9219417968479652,0.9219417968479652,0.9219417968479652,0.9219417968479652,0.0,0.0,0.0,105.80292758238667
202,2023-10-18,105.3164758397837,97.94804961836114,113.70602300686517,105.3164758397837,105.3164758397837,0.39542300760696625,0.39542300760696625,0.39542300760696625,0.39542300760696625,0.39542300760696625,0.39542300760696625,0.0,0.0,0.0,105.71189884739067
203,2023-10-19,105.75196589402871,97.93564892220469,113.78400218056606,105.75196589402871,105.75196589402871,0.607435046856143,0.607435046856143,0.607435046856143,0.607435046856143,0.607435046856143,0.607435046856143,0.0,0.0,0.0,106.35940094088485
